Designator,Mid X,Mid Y,Layer,Rotation
C176,73.49,82.21,Top,90.0
C177,74.63,82.21,Top,90.0
C178,76.28,81.95,Top,0.0
C179,74.88,73.57,Top,180.0
C180,80.73,81.95,Top,90.0
C181,82.89,79.29,Top,180.0
C182,82.89,83.10,Top,0.0
C183,82.89,78.27,Top,0.0
C184,82.38,76.37,Top,270.0
C185,85.55,76.37,Top,270.0
C186,69.93,75.73,Top,0.0
C187,58.25,71.03,Top,90.0
C188,116.37,85.89,Top,180.0
C189,113.57,80.81,Top,270.0
C190,115.86,80.18,Top,180.0
C191,120.56,79.29,Top,270.0
C192,120.56,81.57,Top,90.0
C193,123.99,82.21,Top,90.0
C194,125.13,82.21,Top,90.0
C195,126.78,81.95,Top,0.0
C196,125.38,73.57,Top,180.0
C197,131.23,81.95,Top,90.0
C198,133.39,79.29,Top,180.0
C199,133.39,83.10,Top,0.0
C200,133.39,78.27,Top,0.0
C201,132.88,76.37,Top,270.0
C202,136.05,76.37,Top,270.0
C203,120.43,75.73,Top,0.0
C204,108.75,71.03,Top,90.0
C205,15.37,108.89,Top,180.0
C206,12.57,103.81,Top,270.0
C207,14.86,103.17,Top,180.0
C208,19.56,102.29,Top,270.0
C209,19.56,104.57,Top,90.0
C210,22.99,105.21,Top,90.0
C211,24.13,105.21,Top,90.0
C212,25.78,104.95,Top,0.0
C213,24.38,96.57,Top,180.0
C214,30.23,104.95,Top,90.0
C215,32.38,102.29,Top,180.0
C216,32.38,106.10,Top,0.0
C217,32.38,101.27,Top,0.0
C218,31.88,99.36,Top,270.0
C219,35.05,99.36,Top,270.0
C220,19.43,98.73,Top,0.0
C221, 7.75,94.03,Top,90.0
C222,65.87,108.89,Top,180.0
C223,63.07,103.81,Top,270.0
C224,65.36,103.17,Top,180.0
C225,70.06,102.29,Top,270.0
C226,70.06,104.57,Top,90.0
C227,73.49,105.21,Top,90.0
C228,74.63,105.21,Top,90.0
C229,76.28,104.95,Top,0.0
C230,74.88,96.57,Top,180.0
C231,80.73,104.95,Top,90.0
C232,82.89,102.29,Top,180.0
C233,82.89,106.10,Top,0.0
C234,82.89,101.27,Top,0.0
C235,82.38,99.36,Top,270.0
C236,85.55,99.36,Top,270.0
C237,69.93,98.73,Top,0.0
C238,58.25,94.03,Top,90.0
C239,116.37,108.89,Top,180.0
C240,113.57,103.81,Top,270.0
C241,115.86,103.17,Top,180.0
C242,120.56,102.29,Top,270.0
C243,120.56,104.57,Top,90.0
C244,123.99,105.21,Top,90.0
C245,125.13,105.21,Top,90.0
C246,126.78,104.95,Top,0.0
C247,125.38,96.57,Top,180.0
C248,131.23,104.95,Top,90.0
C249,133.39,102.29,Top,180.0
C250,133.39,106.10,Top,0.0
C251,133.39,101.27,Top,0.0
C252,132.88,99.36,Top,270.0
C253,136.05,99.36,Top,270.0
C254,120.43,98.73,Top,0.0
C255,108.75,94.03,Top,90.0
C256,15.37,131.89,Top,180.0
C257,12.57,126.81,Top,270.0
C258,14.86,126.18,Top,180.0
C259,19.56,125.29,Top,270.0
C260,19.56,127.57,Top,90.0
C261,22.99,128.21,Top,90.0
C262,24.13,128.21,Top,90.0
C263,25.78,127.96,Top,0.0
C264,24.38,119.57,Top,180.0
C265,30.23,127.96,Top,90.0
C266,32.38,125.29,Top,180.0
C267,32.38,129.10,Top,0.0
C268,32.38,124.27,Top,0.0
C269,31.88,122.37,Top,270.0
C270,35.05,122.37,Top,270.0
C271,19.43,121.73,Top,0.0
C272, 7.75,117.03,Top,90.0
C273,65.87,131.89,Top,180.0
C274,63.07,126.81,Top,270.0
C275,65.36,126.18,Top,180.0
C276,70.06,125.29,Top,270.0
C277,70.06,127.57,Top,90.0
C278,73.49,128.21,Top,90.0
C279,74.63,128.21,Top,90.0
C280,76.28,127.96,Top,0.0
C281,74.88,119.57,Top,180.0
C282,80.73,127.96,Top,90.0
C283,82.89,125.29,Top,180.0
C284,82.89,129.10,Top,0.0
C285,82.89,124.27,Top,0.0
C286,82.38,122.37,Top,270.0
C287,85.55,122.37,Top,270.0
C288,69.93,121.73,Top,0.0
C289,58.25,117.03,Top,90.0
C290,116.37,131.89,Top,180.0
C291,113.57,126.81,Top,270.0
C292,115.86,126.18,Top,180.0
C293,120.56,125.29,Top,270.0
C294,120.56,127.57,Top,90.0
C295,123.99,128.21,Top,90.0
C296,125.13,128.21,Top,90.0
C297,126.78,127.96,Top,0.0
C298,125.38,119.57,Top,180.0
C299,131.23,127.96,Top,90.0
C300,133.39,125.29,Top,180.0
C301,133.39,129.10,Top,0.0
C302,133.39,124.27,Top,0.0
C303,132.88,122.37,Top,270.0
C304,136.05,122.37,Top,270.0
C305,120.43,121.73,Top,0.0
C306,108.75,117.03,Top,90.0
C307,15.37,154.89,Top,180.0
C308,12.57,149.81,Top,270.0
C309,14.86,149.18,Top,180.0
C310,19.56,148.29,Top,270.0
C311,19.56,150.57,Top,90.0
C312,22.99,151.21,Top,90.0
C313,24.13,151.21,Top,90.0
C314,25.78,150.95,Top,0.0
C315,24.38,142.57,Top,180.0
C316,30.23,150.95,Top,90.0
C317,32.38,148.29,Top,180.0
C318,32.38,152.10,Top,0.0
C319,32.38,147.27,Top,0.0
C320,31.88,145.37,Top,270.0
C321,35.05,145.37,Top,270.0
C322,19.43,144.73,Top,0.0
C323, 7.75,140.03,Top,90.0
C324,65.87,154.89,Top,180.0
C325,63.07,149.81,Top,270.0
C326,65.36,149.18,Top,180.0
C327,70.06,148.29,Top,270.0
C328,70.06,150.57,Top,90.0
C329,73.49,151.21,Top,90.0
C330,74.63,151.21,Top,90.0
C331,76.28,150.95,Top,0.0
C332,74.88,142.57,Top,180.0
C333,80.73,150.95,Top,90.0
C334,82.89,148.29,Top,180.0
C335,82.89,152.10,Top,0.0
C336,82.89,147.27,Top,0.0
C337,82.38,145.37,Top,270.0
C338,85.55,145.37,Top,270.0
C339,69.93,144.73,Top,0.0
C340,58.25,140.03,Top,90.0
C341,116.37,154.89,Top,180.0
C342,113.57,149.81,Top,270.0
C343,115.86,149.18,Top,180.0
C344,120.56,148.29,Top,270.0
C345,120.56,150.57,Top,90.0
C346,123.99,151.21,Top,90.0
C347,125.13,151.21,Top,90.0
C348,126.78,150.95,Top,0.0
C349,125.38,142.57,Top,180.0
C350,131.23,150.95,Top,90.0
C351,133.39,148.29,Top,180.0
C352,133.39,152.10,Top,0.0
C353,133.39,147.27,Top,0.0
C354,132.88,145.37,Top,270.0
C355,136.05,145.37,Top,270.0
C356,120.43,144.73,Top,0.0
C357,108.75,140.03,Top,90.0
C358,15.37,177.89,Top,180.0
C359,12.57,172.81,Top,270.0
C360,14.86,172.18,Top,180.0
C361,19.56,171.29,Top,270.0
C362,19.56,173.57,Top,90.0
C363,22.99,174.21,Top,90.0
C364,24.13,174.21,Top,90.0
C365,25.78,173.95,Top,0.0
C366,24.38,165.57,Top,180.0
C367,30.23,173.95,Top,90.0
C368,32.38,171.29,Top,180.0
C369,32.38,175.10,Top,0.0
C370,32.38,170.27,Top,0.0
C371,31.88,168.37,Top,270.0
C372,35.05,168.37,Top,270.0
C373,19.43,167.73,Top,0.0
C374, 7.75,163.03,Top,90.0
C375,65.87,177.89,Top,180.0
C376,63.07,172.81,Top,270.0
C377,65.36,172.18,Top,180.0
C378,70.06,171.29,Top,270.0
C379,70.06,173.57,Top,90.0
C380,73.49,174.21,Top,90.0
C381,74.63,174.21,Top,90.0
C382,76.28,173.95,Top,0.0
C383,74.88,165.57,Top,180.0
C384,80.73,173.95,Top,90.0
C385,82.89,171.29,Top,180.0
C386,82.89,175.10,Top,0.0
C387,82.89,170.27,Top,0.0
C388,82.38,168.37,Top,270.0
C389,85.55,168.37,Top,270.0
C390,69.93,167.73,Top,0.0
C391,58.25,163.03,Top,90.0
C392,116.37,177.89,Top,180.0
C393,113.57,172.81,Top,270.0
C394,115.86,172.18,Top,180.0
C395,120.56,171.29,Top,270.0
C396,120.56,173.57,Top,90.0
C397,123.99,174.21,Top,90.0
C398,125.13,174.21,Top,90.0
C399,126.78,173.95,Top,0.0
C400,125.38,165.57,Top,180.0
C401,131.23,173.95,Top,90.0
C402,133.39,171.29,Top,180.0
C403,133.39,175.10,Top,0.0
C404,133.39,170.27,Top,0.0
C405,132.88,168.37,Top,270.0
C406,136.05,168.37,Top,270.0
C407,120.43,167.73,Top,0.0
C408,108.75,163.03,Top,90.0
D1, 9.40,13.34,Top,180.0
D2, 9.53, 9.14,Top,270.0
D3, 9.65,16.38,Top,180.0
D4,42.42,15.37,Top,0.0
D5,42.42,14.10,Top,0.0
D6,42.55,12.83,Top,0.0
D7,59.90,13.34,Top,180.0
D8,60.15,16.38,Top,180.0
D9,60.03, 9.14,Top,270.0
D10,92.92,15.37,Top,0.0
D11,92.92,14.10,Top,0.0
D12,93.05,12.83,Top,0.0
D13,110.40,13.34,Top,180.0
D14,110.65,16.38,Top,180.0
D15,110.53, 9.14,Top,270.0
D16,143.42,15.37,Top,0.0
D17,143.42,14.10,Top,0.0
D18,143.55,12.83,Top,0.0
D19, 9.40,36.33,Top,180.0
D20, 9.65,39.38,Top,180.0
D21, 9.53,32.14,Top,270.0
D22,42.42,38.37,Top,0.0
D23,42.42,37.10,Top,0.0
D24,42.55,35.83,Top,0.0
D25,59.90,36.33,Top,180.0
D26,60.15,39.38,Top,180.0
D27,60.03,32.14,Top,270.0
D28,92.92,38.37,Top,0.0
D29,92.92,37.10,Top,0.0
D30,93.05,35.83,Top,0.0
D31,110.40,36.33,Top,180.0
D32,110.65,39.38,Top,180.0
D33,110.53,32.14,Top,270.0
D34,143.42,38.37,Top,0.0
D35,143.42,37.10,Top,0.0
D36,143.55,35.83,Top,0.0
D37, 9.40,59.33,Top,180.0
D38, 9.65,62.38,Top,180.0
D39, 9.53,55.14,Top,270.0
D40,42.42,61.37,Top,0.0
D41,42.42,60.10,Top,0.0
D42,42.55,58.83,Top,0.0
D43,59.90,59.33,Top,180.0
D44,60.15,62.38,Top,180.0
D45,60.03,55.14,Top,270.0
D46,92.92,61.37,Top,0.0
D47,92.92,60.10,Top,0.0
D48,93.05,58.83,Top,0.0
D49,110.40,59.33,Top,180.0
D50,110.65,62.38,Top,180.0
D51,110.53,55.14,Top,270.0
D52,143.42,61.37,Top,0.0
D53,143.42,60.10,Top,0.0
D54,143.55,58.83,Top,0.0
D55, 9.40,82.33,Top,180.0
D56, 9.65,85.38,Top,180.0
D57, 9.53,78.14,Top,270.0
D58,42.42,84.37,Top,0.0
D59,42.42,83.10,Top,0.0
D60,42.55,81.83,Top,0.0
D61,59.90,82.33,Top,180.0
D62,60.15,85.38,Top,180.0
D63,60.03,78.14,Top,270.0
D64,92.92,84.37,Top,0.0
D65,92.92,83.10,Top,0.0
D66,93.05,81.83,Top,0.0
D67,110.40,82.33,Top,180.0
D68,110.65,85.38,Top,180.0
D69,110.53,78.14,Top,270.0
D70,143.42,84.37,Top,0.0
D71,143.42,83.10,Top,0.0
D72,143.55,81.83,Top,0.0
D73, 9.40,105.33,Top,180.0
D74, 9.65,108.38,Top,180.0
D75, 9.53,101.14,Top,270.0
D76,42.42,107.37,Top,0.0
D77,42.42,106.10,Top,0.0
D78,42.55,104.83,Top,0.0
D79,59.90,105.33,Top,180.0
D80,60.15,108.38,Top,180.0
D81,60.03,101.14,Top,270.0
D82,92.92,107.37,Top,0.0
D83,92.92,106.10,Top,0.0
D84,93.05,104.83,Top,0.0
D85,110.40,105.33,Top,180.0
D86,110.65,108.38,Top,180.0
D87,110.53,101.14,Top,270.0
D88,143.42,107.37,Top,0.0
D89,143.42,106.10,Top,0.0
D90,143.55,104.83,Top,0.0
D91, 9.40,128.34,Top,180.0
D92, 9.65,131.38,Top,180.0
D93, 9.53,124.15,Top,270.0
D94,42.42,130.37,Top,0.0
D95,42.42,129.10,Top,0.0
D96,42.55,127.83,Top,0.0
D97,59.90,128.34,Top,180.0
D98,60.15,131.38,Top,180.0
D99,60.03,124.15,Top,270.0
D100,92.92,130.37,Top,0.0
D101,92.92,129.10,Top,0.0
D102,93.05,127.83,Top,0.0
D103,110.40,128.34,Top,180.0
D104,110.65,131.38,Top,180.0
D105,110.53,124.15,Top,270.0
D106,143.42,130.37,Top,0.0
D107,143.42,129.10,Top,0.0
D108,143.55,127.83,Top,0.0
D109, 9.40,151.34,Top,180.0
D110, 9.65,154.38,Top,180.0
D111, 9.53,147.14,Top,270.0
D112,42.42,153.37,Top,0.0
D113,42.42,152.10,Top,0.0
D114,42.55,150.83,Top,0.0
D115,59.90,151.34,Top,180.0
D116,60.15,154.38,Top,180.0
D117,60.03,147.14,Top,270.0
D118,92.92,153.37,Top,0.0
D119,92.92,152.10,Top,0.0
D120,93.05,150.83,Top,0.0
D121,110.40,151.34,Top,180.0
D122,110.65,154.38,Top,180.0
D123,110.53,147.14,Top,270.0
D124,143.42,153.37,Top,0.0
D125,143.42,152.10,Top,0.0
D126,143.55,150.83,Top,0.0
D127, 9.40,174.34,Top,180.0
D128, 9.65,177.38,Top,180.0
D129, 9.53,170.14,Top,270.0
D130,42.42,176.37,Top,0.0
D131,42.42,175.10,Top,0.0
D132,42.55,173.83,Top,0.0
D133,59.90,174.34,Top,180.0
D134,60.15,177.38,Top,180.0
D135,60.03,170.14,Top,270.0
D136,92.92,176.37,Top,0.0
D137,92.92,175.10,Top,0.0
D138,93.05,173.83,Top,0.0
D139,110.40,174.34,Top,180.0
D140,110.65,177.38,Top,180.0
D141,110.53,170.14,Top,270.0
D142,143.42,176.37,Top,0.0
D143,143.42,175.10,Top,0.0
D144,143.55,173.83,Top,0.0
E$1, 6.85,185.59,Top,0.0
E$3,144.06,185.59,Top,0.0
E$5, 6.85,-4.59,Top,0.0
J1, 2.79,10.00,Top,0.0
J2,53.29,10.00,Top,0.0
J3,103.79,10.00,Top,0.0
J4, 2.79,33.00,Top,0.0
J5,53.29,33.00,Top,0.0
J6,103.79,33.00,Top,0.0
J7, 2.79,56.00,Top,0.0
J8,53.29,56.00,Top,0.0
J9,103.79,56.00,Top,0.0
J10, 2.79,79.00,Top,0.0
J11,53.29,79.00,Top,0.0
J12,103.79,79.00,Top,0.0
J13, 2.79,102.00,Top,0.0
J14,53.29,102.00,Top,0.0
J15,103.79,102.00,Top,0.0
J16, 2.79,125.00,Top,0.0
J17,53.29,125.00,Top,0.0
J18,103.79,125.00,Top,0.0
J19, 2.79,148.00,Top,0.0
J20,53.29,148.00,Top,0.0
J21,103.79,148.00,Top,0.0
J22, 2.79,171.00,Top,0.0
J23,53.29,171.00,Top,0.0
J24,103.79,171.00,Top,0.0
L1,33.53, 8.00,Top,0.0
L2,84.03, 8.00,Top,0.0
L3,134.53, 8.00,Top,0.0
L4,33.53,31.00,Top,0.0
L5,84.03,31.00,Top,0.0
L6,134.53,31.00,Top,0.0
L7,33.53,54.00,Top,0.0
L8,84.03,54.00,Top,0.0
L9,134.53,54.00,Top,0.0
L10,33.53,77.00,Top,0.0
L11,84.03,77.00,Top,0.0
L12,134.53,77.00,Top,0.0
L13,33.53,100.00,Top,0.0
L14,84.03,100.00,Top,0.0
L15,134.53,100.00,Top,0.0
L16,33.53,123.00,Top,0.0
L17,84.03,123.00,Top,0.0
L18,134.53,123.00,Top,0.0
L19,33.53,146.00,Top,0.0
L20,84.03,146.00,Top,0.0
L21,134.53,146.00,Top,0.0
L22,33.53,169.00,Top,0.0
L23,84.03,169.00,Top,0.0
L24,134.53,169.00,Top,0.0
R1, 9.65,15.11,Top,0.0
R2,19.43, 2.54,Top,180.0
R3,44.83,15.37,Top,0.0
R4,44.83,14.10,Top,0.0
R5,44.83,12.83,Top,0.0
R6,69.93, 2.54,Top,180.0
R7,60.15,15.11,Top,0.0
R8,95.33,15.37,Top,0.0
R9,95.33,14.10,Top,0.0
R10,95.33,12.83,Top,0.0
R11,120.43, 2.54,Top,180.0
R12,110.65,15.11,Top,0.0
R13,145.83,15.37,Top,0.0
R14,145.83,14.10,Top,0.0
R15,145.83,12.83,Top,0.0
R16,19.43,25.54,Top,180.0
R17, 9.65,38.11,Top,0.0
R18,44.83,38.37,Top,0.0
R19,44.83,37.10,Top,0.0
R20,44.83,35.83,Top,0.0
R21,69.93,25.54,Top,180.0
R22,60.15,38.11,Top,0.0
R23,95.33,38.37,Top,0.0
R24,95.33,37.10,Top,0.0
R25,95.33,35.83,Top,0.0
R26,120.43,25.54,Top,180.0
R27,110.65,38.11,Top,0.0
R28,145.83,38.37,Top,0.0
