Designator,Mid X,Mid Y,Layer,Rotation
TC21,131.86,140.54,Top,180.0
TC22,30.86,163.54,Top,180.0
TC23,81.36,163.54,Top,180.0
TC24,131.86,163.54,Top,180.0
TP1,43.56, 4.45,Top,180.0
TP2,94.06, 4.45,Top,180.0
TP3,144.56, 4.45,Top,180.0
TP4,43.56,27.44,Top,180.0
TP5,94.06,27.44,Top,180.0
TP6,144.56,27.44,Top,180.0
TP7,43.56,50.44,Top,180.0
TP8,94.06,50.44,Top,180.0
TP9,144.56,50.44,Top,180.0
TP10,43.56,73.44,Top,180.0
TP11,94.06,73.44,Top,180.0
TP12,144.56,73.44,Top,180.0
TP13,43.56,96.44,Top,180.0
TP14,94.06,96.44,Top,180.0
TP15,144.56,96.44,Top,180.0
TP16,43.56,119.45,Top,180.0
TP17,94.06,119.45,Top,180.0
TP18,144.56,119.45,Top,180.0
TP19,43.56,142.45,Top,180.0
TP20,94.06,142.45,Top,180.0
TP21,144.56,142.45,Top,180.0
TP22,43.56,165.45,Top,180.0
TP23,94.06,165.45,Top,180.0
TP24,144.56,165.45,Top,180.0
U1,10.03, 3.68,Top,270.0
U2,27.18, 8.64,Top,0.0
U3,77.68, 8.64,Top,0.0
U4,60.53, 3.68,Top,270.0
U5,128.18, 8.64,Top,0.0
U6,111.03, 3.68,Top,270.0
U7,27.18,31.64,Top,0.0
U8,10.03,26.68,Top,270.0
U9,77.68,31.64,Top,0.0
U10,60.53,26.68,Top,270.0
U11,128.18,31.64,Top,0.0
U12,111.03,26.68,Top,270.0
U13,27.18,54.64,Top,0.0
U14,10.03,49.68,Top,270.0
U15,77.68,54.64,Top,0.0
U16,60.53,49.68,Top,270.0
U17,128.18,54.64,Top,0.0
U18,111.03,49.68,Top,270.0
U19,27.18,77.64,Top,0.0
U20,10.03,72.68,Top,270.0
U21,77.68,77.64,Top,0.0
U22,60.53,72.68,Top,270.0
U23,128.18,77.64,Top,0.0
U24,111.03,72.68,Top,270.0
U25,27.18,100.63,Top,0.0
U26,10.03,95.68,Top,270.0
U27,77.68,100.63,Top,0.0
U28,60.53,95.68,Top,270.0
U29,128.18,100.63,Top,0.0
U30,111.03,95.68,Top,270.0
U31,27.18,123.64,Top,0.0
U32,10.03,118.68,Top,270.0
U33,77.68,123.64,Top,0.0
U34,60.53,118.68,Top,270.0
U35,128.18,123.64,Top,0.0
U36,111.03,118.68,Top,270.0
U37,27.18,146.64,Top,0.0
U38,10.03,141.68,Top,270.0
U39,77.68,146.64,Top,0.0
U40,60.53,141.68,Top,270.0
U41,128.18,146.64,Top,0.0
U42,111.03,141.68,Top,270.0
U43,27.18,169.64,Top,0.0
U44,10.03,164.68,Top,270.0
U45,77.68,169.64,Top,0.0
U46,60.53,164.68,Top,270.0
U47,128.18,169.64,Top,0.0
U48,111.03,164.68,Top,270.0
VR1,14.86,14.10,Top,270.0
VR2,65.36,14.10,Top,270.0
VR3,115.86,14.10,Top,270.0
VR4,14.86,37.10,Top,270.0
VR5,65.36,37.10,Top,270.0
VR6,115.86,37.10,Top,270.0
VR7,14.86,60.10,Top,270.0
VR8,65.36,60.10,Top,270.0
VR9,115.86,60.10,Top,270.0
VR10,14.86,83.10,Top,270.0
VR11,65.36,83.10,Top,270.0
VR12,115.86,83.10,Top,270.0
VR13,14.86,106.10,Top,270.0
VR14,65.36,106.10,Top,270.0
VR15,115.86,106.10,Top,270.0
VR16,14.86,129.10,Top,270.0
VR17,65.36,129.10,Top,270.0
VR18,115.86,129.10,Top,270.0
VR19,14.86,152.10,Top,270.0
VR20,65.36,152.10,Top,270.0
VR21,115.86,152.10,Top,270.0
VR22,14.86,175.10,Top,270.0
VR23,65.36,175.10,Top,270.0
VR24,115.86,175.10,Top,270.0
Y1,32.38,12.19,Top,90.0
Y2,21.34,11.43,Top,90.0
Y3,71.84,11.43,Top,90.0
Y4,82.89,12.19,Top,90.0
Y5,122.34,11.43,Top,90.0
Y6,133.39,12.19,Top,90.0
Y7,21.34,34.43,Top,90.0
Y8,32.38,35.19,Top,90.0
Y9,71.84,34.43,Top,90.0
Y10,82.89,35.19,Top,90.0
Y11,122.34,34.43,Top,90.0
Y12,133.39,35.19,Top,90.0
Y13,21.34,57.43,Top,90.0
Y14,32.38,58.19,Top,90.0
Y15,71.84,57.43,Top,90.0
Y16,82.89,58.19,Top,90.0
Y17,122.34,57.43,Top,90.0
Y18,133.39,58.19,Top,90.0
Y19,21.34,80.43,Top,90.0
Y20,32.38,81.19,Top,90.0
Y21,71.84,80.43,Top,90.0
Y22,82.89,81.19,Top,90.0
Y23,122.34,80.43,Top,90.0
Y24,133.39,81.19,Top,90.0
Y25,21.34,103.43,Top,90.0
Y26,32.38,104.19,Top,90.0
Y27,71.84,103.43,Top,90.0
Y28,82.89,104.19,Top,90.0
Y29,122.34,103.43,Top,90.0
Y30,133.39,104.19,Top,90.0
Y31,21.34,126.43,Top,90.0
Y32,32.38,127.19,Top,90.0
Y33,71.84,126.43,Top,90.0
Y34,82.89,127.19,Top,90.0
Y35,122.34,126.43,Top,90.0
Y36,133.39,127.19,Top,90.0
Y37,21.34,149.43,Top,90.0
Y38,32.38,150.19,Top,90.0
Y39,71.84,149.43,Top,90.0
Y40,82.89,150.19,Top,90.0
Y41,122.34,149.43,Top,90.0
Y42,133.39,150.19,Top,90.0
Y43,21.34,172.43,Top,90.0
Y44,32.38,173.19,Top,90.0
Y45,71.84,172.43,Top,90.0
Y46,82.89,173.19,Top,90.0
Y47,122.34,172.43,Top,90.0
Y48,133.39,173.19,Top,90.0
